left_foot_X,left_foot_Y,left_foot_Z,left_knee_X,left_knee_Y,left_knee_Z,left_hip_X,left_hip_Y,left_hip_Z,left_upper_hip_X,left_upper_hip_Y,left_upper_hip_Z,left_upper_knee_X,left_upper_knee_Y,left_upper_knee_Z,left_lower_knee_X,left_lower_knee_Y,left_lower_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z,right_lower_knee_X,right_lower_knee_Y,right_lower_knee_Z,right_upper_knee_X,right_upper_knee_Y,right_upper_knee_Z,right_upper_hip_X,right_upper_hip_Y,right_upper_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_foot_X,right_foot_Y,right_foot_Z,Joint15,right_foot_ex_X,right_foot_ex_Y
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613555,5.26E-05,0.531834593,0.033147479,-0.135628472,0.958716036,0.033147479,-0.135628472,0.958716036,0.032167632,0.01989965,1.147690355,0.244772684,0.134792959,1.149387146,0.244881639,0.249892121,1.14981271,0.032534052,0.405597496,1.148897044,0.033665112,0.40602857,0.95990092,0.134256505,0.408124519,0.541220446,0.376380712,0.275628647,0.35530696,0.227289973,0.274321623,0.162070297,0.302289219,0.274638648,0.161957629,0.302072798,0.274128713,0.016458683
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023727038,5.26E-05,0.531849671,0.033155156,-0.135628497,0.958714978,0.033155156,-0.135628497,0.958714978,0.032175298,0.01989962,1.147689301,0.244781565,0.134790625,1.149389907,0.244891748,0.249889778,1.149817382,0.032545836,0.405597442,1.148902398,0.033678596,0.406031644,0.959906291,0.13427375,0.408133472,0.541226751,0.376398211,0.2756381,0.355313239,0.227309195,0.274335881,0.162075214,0.302308445,0.274652104,0.161963223,0.302093321,0.274144584,0.016464267
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.023618174,5.24E-05,0.531835208,0.03314597,-0.135630509,0.958715647,0.03314597,-0.135630509,0.958715647,0.032165404,0.019897288,1.147690229,0.244770161,0.134791131,1.14938785,0.244878823,0.249890291,1.149813875,0.032530842,0.40559513,1.148898467,0.033662228,0.406026966,0.959902346,0.134254331,0.40812485,0.541222053,0.376379199,0.275630336,0.355308459,0.227288802,0.274323712,0.162071529,0.302288047,0.274640927,0.161958993,0.302071881,0.274131575,0.016460045
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613533,5.26E-05,0.53183459,0.033147478,-0.135628476,0.958716036,0.033147478,-0.135628476,0.958716036,0.032167632,0.019899645,1.147690355,0.244772685,0.134792954,1.149387146,0.24488164,0.249892116,1.14981271,0.032534042,0.405597487,1.148898973,0.033665104,0.406030905,0.959902854,0.134337553,0.408135428,0.541241907,0.376434611,0.275647688,0.355287274,0.22731216,0.274338838,0.162075094,0.302311382,0.274655646,0.161947139,0.30206531,0.274144005,0.016448246
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613528,5.26E-05,0.53183459,0.03314748,-0.135628477,0.958716035,0.03314748,-0.135628477,0.958716035,0.032167634,0.019899644,1.147690355,0.244772686,0.134792954,1.149387146,0.244881641,0.249892115,1.14981271,0.032534054,0.40559749,1.14889704,0.033665114,0.406028559,0.959900916,0.134256505,0.408124493,0.541220442,0.376380727,0.275628615,0.35530698,0.227290005,0.274321586,0.162070304,0.30228925,0.274638616,0.161957638,0.302072833,0.274128683,0.016458692
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613507,5.26E-05,0.531834587,0.033147478,-0.135628462,0.958716038,0.033147478,-0.135628462,0.958716038,0.032167631,0.019899663,1.147690354,0.244772683,0.134792972,1.149387147,0.244881638,0.249892134,1.14981271,0.032534051,0.405597509,1.148897044,0.033665112,0.406028583,0.95990092,0.134256493,0.408124532,0.541220444,0.376380706,0.27562866,0.355306966,0.227289974,0.274321638,0.162070297,0.30228922,0.274638662,0.161957629,0.302072799,0.274128727,0.016458684
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.02361353,5.26E-05,0.53183459,0.03314747,-0.13562847,0.958716038,0.03314747,-0.13562847,0.958716038,0.032167627,0.019899653,1.147690356,0.244772683,0.134792957,1.149387147,0.244881641,0.249892118,1.14981271,0.032534058,0.405597499,1.148897042,0.033665118,0.406028571,0.959900918,0.134256495,0.408124512,0.54122044,0.376380708,0.275628631,0.355306968,0.227289979,0.27432161,0.162070297,0.302289224,0.274638635,0.161957628,0.302072802,0.274128702,0.016458683
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.02361353,5.26E-05,0.53183459,0.033147479,-0.135628482,0.958716034,0.033147479,-0.135628482,0.958716034,0.032167632,0.019899638,1.147690355,0.244772684,0.134792948,1.149387146,0.244881638,0.24989211,1.14981271,0.03253405,0.405597484,1.148897045,0.03366511,0.406028559,0.959900921,0.134256505,0.408124507,0.541220449,0.376380709,0.275628632,0.35530696,0.227289969,0.274321612,0.162070298,0.302289215,0.274638636,0.16195763,0.302072794,0.274128703,0.016458685
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613529,5.26E-05,0.53183459,0.033147463,-0.13562845,0.958716042,0.033147463,-0.13562845,0.958716042,0.032167627,0.019899678,1.147690356,0.24477269,0.134792967,1.149387147,0.244881656,0.249892129,1.149812706,0.032534083,0.405597524,1.148897028,0.033665147,0.406028588,0.959900904,0.134256529,0.40812451,0.541220428,0.376380728,0.275628617,0.355306945,0.227289986,0.274321591,0.162070284,0.302289231,0.274638614,0.161957618,0.302072814,0.274128674,0.016458673
-0.075,-7.50E-07,0.1455,-0.075,-7.50E-07,0.1455,-0.023613526,5.26E-05,0.531834589,0.033147479,-0.135628477,0.958716035,0.033147479,-0.135628477,0.958716035,0.032167633,0.019899644,1.147690355,0.244772685,0.134792953,1.149387146,0.24488164,0.249892115,1.14981271,0.032534047,0.405597488,1.148897977,0.033665109,0.406029697,0.959901856,0.134152663,0.408203681,0.541196846,0.376373036,0.275897467,0.355273558,0.227275631,0.274473932,0.162042861,0.302274828,0.274800022,0.161924318,0.302047393,0.274215978,0.016425668
